date,index,TICKER,CAPEI,bm,evm,pe_op_basic,pe_op_dil,pe_exi,pe_inc,ps,pcf,dpr,npm,opmbd,opmad,gpm,ptpm,cfm,roa,roe,roce,efftax,aftret_eq,aftret_invcapx,aftret_equity,pretret_noa,pretret_earnat,GProf,equity_invcap,debt_invcap,totdebt_invcap,capital_ratio,int_debt,int_totdebt,cash_lt,invt_act,rect_act,debt_at,debt_ebitda,short_debt,curr_debt,lt_debt,profit_lct,ocf_lct,cash_debt,fcf_ocf,lt_ppent,dltt_be,debt_assets,debt_capital,de_ratio,intcov,intcov_ratio,cash_ratio,quick_ratio,curr_ratio,cash_conversion,inv_turn,at_turn,rect_turn,pay_turn,sale_invcap,sale_equity,sale_nwc,rd_sale,adv_sale,staff_sale,accrual,ptb,PEG_trailing,divyield,COMNAM,SHRCD,EXCHCD,SICCD,PRC,VOL,RET,SHROUT,BIDLO,ASKHI,OPENPRC,vwretd,ewretd,sprtrn,TICKER_encoded,SHRCD_encoded,EXCHCD_encoded,SICCD_encoded,market_cap,RET_calc,RET_interp,LME,LTurnover,DollarVolume,spread,Volatility,Beta,BetaSquared,r2_1,r12_2,r12_7,r36_13,RET_lag_1_mon,52_week_high,Rel_to_high,SUV,idio_vol,TB3MS,T10Y2Y,BAA10Y,BM,ME,Size,Momentum,ShortTermReversal
2014-11-30,10,AAPL,22.043,0.223,10.361,18.325,18.439,18.439,18.439,3.816,11.681,0.284,0.216,0.331,0.287,0.429,0.293,0.26,0.275,0.291,0.365,0.261,0.336,0.254,0.336,1.46,0.587,0.339,0.794,0.206,0.251,0.206,0.017,0.015,0.208,0.031,0.397,0.152,0.584,0.179,0.527,0.241,0.953,0.941,0.496,0.84,5.833,0.22,0.519,0.37,1.078,103.891,136.727,0.395,1.047,1.08,51.691,53.838,0.833,7.639,3.982,1.301,1.639,35.962,0.033,0.007,0.0,-0.092,5.292,0.876,0.0158,APPLE INC,11.0,3.0,3571.0,118.93,24814402.0,-0.000588,5864840.0,118.05,119.4,119.27,-0.006097,-0.013253,-0.002542,0.0,0.0,1.0,10.0,697505421.2,-0.0005882352941175,-0.000588,629531925.6,1.4401799799682788,2951176829.86,0.0094511767182894,0.008310178863741,0.016843287442574573,0.022174055983760828,0.011905,0.082133,0.044688,0.090406,0.011905,118.93,1.0,-2.0044611435869872,0.0171740204122689,0.02,1.7983333333333331,2.4594444444444448,0.223,697505421.2,20.36302084395934,-0.007152648190691946,0.009534
2014-12-31,11,AAPL,20.324,0.223,10.361,17.008,17.113,17.113,17.113,3.518,10.77,0.284,0.216,0.331,0.287,0.429,0.293,0.26,0.275,0.291,0.365,0.261,0.336,0.254,0.336,1.46,0.587,0.339,0.794,0.206,0.251,0.206,0.017,0.015,0.208,0.031,0.397,0.152,0.584,0.179,0.527,0.241,0.953,0.941,0.496,0.84,5.833,0.22,0.519,0.37,1.078,103.891,136.727,0.395,1.047,1.08,51.691,53.838,0.833,7.639,3.982,1.301,1.639,35.962,0.033,0.007,0.0,-0.092,4.879,0.813,0.017,APPLE INC,11.0,3.0,3571.0,110.38,41403351.0,-0.019019,5826419.0,110.21,113.13,112.82,-0.008784,-0.001034,-0.010311,0.0,0.0,1.0,10.0,643120129.22,-0.0190188410949164,-0.019019,674867138.8,1.4711006625175451,4570101883.38,0.0692347735554399,0.0152197288421623,0.016843287442574573,0.022174055983760828,-0.012203,0.026364,0.029843,0.00871,-0.012203,647.34998,0.1705105482508858,-0.1237972911020341,0.0171740204122689,0.03,1.5718181818181818,2.5304545454545457,0.223,643120129.22,20.28184209091069,-0.007152648190691946,-0.000588
2015-01-31,12,AAPL,21.566,0.223,10.361,18.052,18.164,18.164,18.164,3.733,11.428,0.284,0.216,0.331,0.287,0.429,0.293,0.26,0.275,0.291,0.365,0.261,0.336,0.254,0.336,1.46,0.587,0.339,0.794,0.206,0.251,0.206,0.017,0.015,0.208,0.031,0.397,0.152,0.584,0.179,0.527,0.241,0.953,0.941,0.496,0.84,5.833,0.22,0.519,0.37,1.078,103.891,136.727,0.395,1.047,1.08,51.691,53.838,0.833,7.639,3.982,1.301,1.639,35.962,0.033,0.007,0.0,-0.092,5.178,0.863,0.016,APPLE INC,11.0,3.0,3571.0,117.16,83753961.0,-0.014634,5824748.0,116.85,120.0,118.4,-0.012152,-0.009641,-0.012992,0.0,0.0,1.0,10.0,682427475.68,-0.0146341463414635,-0.014634,655588665.88,2.0556749363429065,9812614070.76,0.0160155731540061,0.0239247567009572,0.016843287442574573,0.022174055983760828,0.031134,0.079562,0.020686,-0.0160829999999999,0.031134,647.34998,0.1809840173317067,0.9829149008411128,0.0228637644300349,0.03,1.33,2.573,0.223,682427475.68,20.341166816637177,-0.027627385943962857,-0.019019
2015-02-28,13,AAPL,23.765,0.228,8.768,4.299,4.328,4.328,4.328,3.745,10.574,0.251,0.223,0.339,0.297,0.434,0.301,0.264,0.306,0.317,0.407,0.261,0.369,0.275,0.369,1.586,0.666,0.377,0.816,0.184,0.205,0.184,0.016,0.014,0.306,0.027,0.309,0.13,0.442,0.102,0.508,0.241,1.195,1.25,0.496,0.847,6.053,0.192,0.484,0.323,0.938,104.16,137.555,0.604,1.248,1.282,51.691,57.818,0.867,8.894,4.205,1.37,1.679,12.497,0.033,0.007,0.0,-0.115,5.101,0.863,0.0146,APPLE INC,11.0,3.0,3571.0,128.46001,62014948.0,-0.014991,5824748.0,128.24001,130.57001,130.0,-0.002605,-0.001387,-0.002956,0.0,0.0,1.0,10.0,748247186.3274801,-0.0149904547015644,-0.014991,671651691.88,1.9437599201838256,7966440840.229481,0.0240757400505505,0.0132112695688587,0.016843287442574573,0.022174055983760828,0.012617,0.067765,0.05176,0.147611,0.012617,647.34998,0.1984398145806693,0.1802256017099031,0.0185570441545873,0.02,1.356315789473684,2.531578947368421,0.228,748247186.3274801,20.433243944352533,-0.03925346366459015,-0.014634
2015-03-31,14,AAPL,23.019,0.228,8.768,4.164,4.192,4.192,4.192,3.627,10.242,0.251,0.223,0.339,0.297,0.434,0.301,0.264,0.306,0.317,0.407,0.261,0.369,0.275,0.369,1.586,0.666,0.377,0.816,0.184,0.205,0.184,0.016,0.014,0.306,0.027,0.309,0.13,0.442,0.102,0.508,0.241,1.195,1.25,0.496,0.847,6.053,0.192,0.484,0.323,0.938,104.16,137.555,0.604,1.248,1.282,51.691,57.818,0.867,8.894,4.205,1.37,1.679,12.497,0.033,0.007,0.0,-0.115,4.941,0.863,0.0151,APPLE INC,11.0,3.0,3571.0,124.43,42304683.0,-0.015352,5824748.0,124.355,126.49,126.09,-0.007119,-0.003535,-0.008796,0.0,0.0,1.0,10.0,724773393.64,-0.0153517448761573,-0.015352,751916719.32,1.4507283731986904,5263971705.690001,0.0153144094670894,0.014400423862457,0.016843287442574573,0.022174055983760828,0.025314,0.023394,0.029293,0.040733,0.025314,647.34998,0.1922144185437373,-0.635031875239872,0.0169021659064566,0.03,1.4022727272727271,2.496363636363637,0.228,724773393.64,20.401369603465184,-0.053443986443757474,-0.014991
2015-04-30,15,AAPL,22.904,0.228,8.768,4.188,4.217,4.217,4.217,3.609,10.191,0.251,0.223,0.339,0.297,0.434,0.301,0.264,0.306,0.317,0.407,0.261,0.369,0.275,0.369,1.586,0.666,0.377,0.816,0.184,0.205,0.184,0.016,0.014,0.306,0.027,0.309,0.13,0.442,0.102,0.508,0.241,1.195,1.25,0.496,0.847,6.053,0.192,0.484,0.323,0.938,104.16,137.555,0.604,1.248,1.282,51.691,57.818,0.867,8.894,4.205,1.37,1.679,12.497,0.033,0.007,0.0,-0.115,4.916,0.863,0.015,APPLE INC,11.0,3.0,3571.0,125.15,83195423.0,-0.02713,5762278.0,124.58,127.88,127.5,-0.010676,-0.011719,-0.010129,0.0,0.0,1.0,10.0,721149091.7,-0.0271299751243779,-0.02713,724773393.64,1.3745135248367366,10411907188.45,0.0170224640714384,0.0127126142297822,0.016843287442574573,0.022174055983760828,-0.014706,0.019245,0.018647,0.016174,-0.014706,647.34998,0.1933266453487803,1.5570541556159687,0.0158927987823871,0.02,1.395,2.549090909090909,0.228,721149091.7,20.396356458476948,-0.0644372159144615,-0.015352
2015-05-31,16,AAPL,22.52,0.213,9.098,3.996,4.026,4.026,4.026,3.538,9.838,0.235,0.225,0.344,0.302,0.439,0.306,0.268,0.316,0.342,0.43,0.261,0.402,0.29,0.402,1.859,0.703,0.381,0.788,0.212,0.238,0.212,0.016,0.014,0.261,0.029,0.32,0.15,0.502,0.109,0.491,0.265,1.206,1.261,0.496,0.845,6.255,0.228,0.504,0.348,1.016,94.925,125.68,0.531,1.155,1.189,51.691,56.801,0.868,9.205,4.276,1.379,1.75,18.537,0.033,0.007,0.0,-0.12,4.912,0.863,0.016,APPLE INC,11.0,3.0,3571.0,130.28,51248429.0,-0.011383,5762278.0,129.89999,131.45,131.23,-0.005829,-0.002778,-0.006318,0.0,0.0,1.0,10.0,750709577.84,-0.0113826073759295,-0.011383,741259441.92,1.400933677566666,6676645330.12,0.0253184039401284,0.0139474123730985,0.016843287442574573,0.022174055983760828,-0.002007,0.046765,0.033115,0.008546,-0.002007,647.34998,0.2012512613347111,0.4308579008667805,0.0155031628083025,0.02,1.5885,2.691,0.213,750709577.84,20.436529421007197,-0.08639667619573133,-0.02713
2015-06-30,17,AAPL,21.467,0.213,9.098,3.847,3.876,3.876,3.876,3.373,9.378,0.235,0.225,0.344,0.302,0.439,0.306,0.268,0.316,0.342,0.43,0.261,0.402,0.29,0.402,1.859,0.703,0.381,0.788,0.212,0.238,0.212,0.016,0.014,0.261,0.029,0.32,0.15,0.502,0.109,0.491,0.265,1.206,1.261,0.496,0.845,6.255,0.228,0.504,0.348,1.016,94.925,125.68,0.531,1.155,1.189,51.691,56.801,0.868,9.205,4.276,1.379,1.75,18.537,0.033,0.007,0.0,-0.12,4.682,0.863,0.0166,APPLE INC,11.0,3.0,3571.0,125.425,44372693.0,0.007187,5705400.0,124.86,126.12,125.57,0.002975,0.004032,0.002658,0.0,0.0,1.0,10.0,715599795.0,0.0071870232072592,0.007187,752178958.73,1.1257824872284965,5565445019.525,0.0102509179926558,0.0074224357562233,0.016843287442574573,0.022174055983760828,-0.017515,-0.020636,0.003566,-0.0023689999999999,-0.017515,133.0,0.9430451127819548,0.5205408556982045,0.0144171212466395,0.02,1.675,2.7618181818181817,0.213,715599795.0,20.388631623125907,-0.10602915373086275,-0.011383
2015-07-31,18,AAPL,20.751,0.213,9.098,3.721,3.748,3.748,3.748,3.26,9.065,0.235,0.225,0.344,0.302,0.439,0.306,0.268,0.316,0.342,0.43,0.261,0.402,0.29,0.402,1.859,0.703,0.381,0.788,0.212,0.238,0.212,0.016,0.014,0.261,0.029,0.32,0.15,0.502,0.109,0.491,0.265,1.206,1.261,0.496,0.845,6.255,0.228,0.504,0.348,1.016,94.925,125.68,0.531,1.155,1.189,51.691,56.801,0.868,9.205,4.276,1.379,1.75,18.537,0.033,0.007,0.0,-0.12,4.526,0.68,0.0171,APPLE INC,11.0,3.0,3571.0,121.3,42885153.0,-0.008744,5702722.0,120.91,122.6425,122.6,-0.000764,0.002575,-0.002272,0.0,0.0,1.0,10.0,691740178.6,-0.0087439731960448,-0.008744,722303640.0,1.4256749183764323,5201969058.9,0.0075119598307832,0.0162395892217785,0.016843287442574573,0.022174055983760828,-0.005041,-0.034306,-0.0119039999999999,-0.0145229999999999,-0.005041,133.0,0.91203007518797,-0.2537318358780414,0.0145619429008422,0.03,1.656818181818182,2.877272727272727,0.213,691740178.6,20.354720978626652,-0.075587011401961,0.007187
2015-08-31,19,AAPL,18.237,0.21,9.106,3.229,3.251,3.251,3.251,2.866,7.935,0.225,0.226,0.347,0.302,0.442,0.307,0.271,0.319,0.355,0.429,0.261,0.419,0.292,0.419,2.177,0.74,0.386,0.767,0.233,0.266,0.233,0.016,0.014,0.233,0.03,0.328,0.165,0.546,0.124,0.485,0.277,1.193,1.242,0.496,0.859,6.542,0.256,0.524,0.37,1.1,84.175,111.102,0.48,1.08,1.114,51.691,56.677,0.873,9.419,4.263,1.405,1.833,30.209,0.034,0.007,0.0,-0.121,4.281,0.68,0.0184,APPLE INC,11.0,3.0,3571.0,112.76,56229563.0,-0.004678,5702722.0,112.0,114.53,112.03,-0.007265,0.001207,-0.008392,0.0,0.0,1.0,10.0,643038932.72,-0.0046782593344514,-0.004678,691740178.6,2.324530667358867,6340445523.88,0.014226912062081,0.0277686417939657,0.016843287442574573,0.022174055983760828,0.003277,-0.011595,-0.0827239999999999,-0.059031,0.003277,133.0,0.8478195488721805,-0.4654398513975656,0.0161673495992784,0.07,1.4695238095238097,3.020952380952381,0.21,643038932.72,20.281715828922557,-0.08590504074962935,-0.008744
2015-09-30,20,AAPL,98.551,0.221,5.178,33.5225,36.80166666666667,-9.685833333333337,-9.685833333333337,8.164,50.207,10.327,0.043,0.256,0.221,0.398,0.051,0.084,0.072,0.023,0.078,0.163,0.006,0.041,0.029,0.496,0.307,0.114,0.525,0.47,0.472,0.471,0.067,0.067,0.108,0.254,0.229,0.378,5.168,0.004,0.132,0.653,0.961,0.61,0.102,0.814,9.133,0.718,0.576,0.498,1.373,1.481,2.497,0.823,1.308,1.755,23.788,5.057,0.285,9.323,4.004,0.356,0.683,4.972,0.0,0.035,0.0,-0.034,4.53,-4.7095,0.0312,APPLE INC,11.0,3.0,3571.0,110.3,66473033.0,0.01137,5702722.0,108.73,111.54,110.17,0.01943,0.014167,0.019076,0.0,0.0,1.0,10.0,629010236.6,0.0113698881349715,0.01137,643038932.72,1.8802907156579296,7331975539.9,0.0223369973071999,0.0187890123027571,0.016843287442574573,0.022174055983760828,-0.030061,-0.054494,-0.0161829999999999,-0.028224,-0.030061,133.0,0.8293233082706767,0.8414377760757998,0.0163923966137051,0.02,1.4595238095238094,3.1680952380952383,0.221,629010236.6,20.259658088936103,-0.09596070021254399,-0.004678
2015-10-31,21,AAPL,108.896,0.2,5.178,37.297,39.92033333333333,-53.05466666666667,-53.05466666666667,9.021,55.477,10.327,0.043,0.256,0.221,0.398,0.051,0.084,0.072,0.023,0.078,0.163,0.006,0.041,0.029,0.496,0.307,0.114,0.525,0.47,0.472,0.471,0.067,0.067,0.108,0.254,0.229,0.378,5.168,0.004,0.132,0.653,0.961,0.61,0.102,0.814,9.133,0.718,0.576,0.498,1.373,1.481,2.497,0.823,1.308,1.755,23.788,5.057,0.285,9.323,4.004,0.356,0.683,4.972,0.0,0.035,0.0,-0.034,5.005,-4.7095,0.0282,APPLE INC,11.0,3.0,3571.0,119.5,49365254.0,-0.008546,5575331.0,119.45,121.22,120.99,-0.004004,-0.001223,-0.00481,0.0,0.0,1.0,10.0,666252054.5,-0.0085455903094665,-0.008546,624904276.76,1.6815151281218763,5899147853.0,0.021297192642788,0.0169147620208223,0.016843287442574573,0.022174055983760828,0.010564,0.0918409999999999,0.047319,-0.0192,0.010564,133.0,0.8984962406015038,0.1109332749108728,0.0164761606565978,0.02,1.4252380952380952,3.2714285714285714,0.2,666252054.5,20.317178617116873,-0.09431655929761684,0.01137
